Id Centro -5	CAP_NOMBRE     Provincia	Total
23635	Cacín	Granada	1
23636	Turro	Granada	1
23637	Beas de Granada	Granada	1
23638	Beas de Guadix	Granada	1
23639	Benalúa de Guadix	Granada	1
23640	Benalúa de las Villas	Granada	1
23641	Benamaurel	Granada	1
23642	Bérchules	Granada	1
23643	Bubión	Granada	1
23644	Busquístar	Granada	1
23645	Ambroz	Granada	1
23646	Belicena	Granada	1
23647	Purchil	Granada	1
23648	Cuevas del Campo	Granada	1
23649	Zagra	Granada	1
23650	Pinos del Valle (El Pinar)	Granada	1
23651	Híjar (Las Gabias)	Granada	1
23652	Guájar Alto	Granada	1
23653	Guájar Faragüit	Granada	1
23654	Guájar Fondón	Granada	1
23655	Alcudia	Granada	1
23656	Charches	Granada	1
23657	Esfiliana	Granada	1
23658	Villamena	Granada	1
23659	Cozvíjar (Villamena)	Granada	1
23660	Laborcillas	Granada	1
23661	Moreda	Granada	1
23662	Izbor (El Pinar)	Granada	1
23663	Arenas del Rey	Granada	1
23664	Fornes	Granada	1
23665	Los Laneros	Granada	1
23666	La Teja	Granada	1
23667	Los Baños	Granada	1
23668	Cortes	Granada	1
23669	Graena	Granada	1
23670	Lopera	Granada	1
23671	Cúllar	Granada	1
23672	El Margen	Granada	1
23673	Huéscar	Granada	1
23674	Huétor-Santillán	Granada	1
23675	Huétor-Tájar	Granada	1
23676	Huétor Vega	Granada	1
23677	Alomartes	Granada	1
23678	Bracaná	Granada	1
23679	Escoznar	Granada	1
23680	Fátima	Granada	1
23681	Cenes de la Vega	Granada	1
23682	Cijuela	Granada	1
23683	Cogollos Guadix	Granada	1
23684	Cogollos Vega	Granada	1
23685	Cerro Cauro	Granada	1
23686	Colomera	Granada	1
23687	Campo Cámara	Granada	1
23688	Cáñar	Granada	1
23689	Capileira	Granada	1
23690	Carataunas	Granada	1
23691	Cástaras	Granada	1
23692	Nieles	Granada	1
23693	Los Carriones	Granada	1
23694	Castilléjar	Granada	1
23696	Las Almontaras	Granada	1
23697	Castril	Granada	1
23698	Cádiar	Granada	1
23699	Yátor	Granada	1
23700	Bellavista	Granada	1
23701	Cájar	Granada	1
23702	Calicasas	Granada	1
23703	Campotéjar	Granada	1
23704	Caniles	Granada	1
23705	Jayena	Granada	1
23706	Jete	Granada	1
23707	Jun	Granada	1
23708	Juviles	Granada	1
23709	La Calahorra	Granada	1
23710	Láchar	Granada	1
23711	Peñuelas	Granada	1
23712	Lanjarón	Granada	1
23713	Lanteira	Granada	1
23714	Acequias	Granada	1
23715	Béznar	Granada	1
23716	Talará (Lecrín)	Granada	1
23718	Obéilar	Granada	1
23719	Íllora	Granada	1
23720	Tocón	Granada	1
23721	Itrabo	Granada	1
23722	Dehesas Viejas	Granada	1
23723	Domingo Pérez	Granada	1
23724	Iznalloz	Granada	1
23725	Ferreira	Granada	1
23726	La Alquería	Granada	1
23727	Galera	Granada	1
23728	Fonelas	Granada	1
23729	Gobernador	Granada	1
23730	Gójar	Granada	1
23731	Freila	Granada	1
23732	Gor	Granada	1
23733	Fuentevaqueros	Granada	1
23734	Churriana de la Vega	Granada	1
23735	Dehesas de Guadix	Granada	1
23736	Darro	Granada	1
23737	Deifontes	Granada	1
23738	Diezma	Granada	1
23739	Sillar Baja	Granada	1
23740	Dílar	Granada	1
23741	Dólar	Granada	1
23742	Dúdar	Granada	1
23743	Dúrcal	Granada	1
23744	Escúzar	Granada	1
23745	Venta del Peral	Granada	1
23746	Venta Quemada	Granada	1
23747	Las Vertientes	Granada	1
23748	Cúllar Vega	Granada	1
23749	Chauchina	Granada	1
23750	Romilla	Granada	1
23751	Romilla la Nueva	Granada	1
23752	Castillo Tajarja	Granada	1
23753	Chimeneas	Granada	1
23754	Cortes de Baza	Granada	1
23755	Las Cucharetas	Granada	1
23756	Murtas	Granada	1
23757	Nigüelas	Granada	1
23758	Nívar	Granada	1
23759	Ogíjares	Granada	1
23760	Lojilla	Granada	1
23761	Montefrío	Granada	1
23762	Montejícar	Granada	1
23763	Montillana	Granada	1
23764	Loreto	Granada	1
23765	Moraleda de Zafayona	Granada	1
23766	Calahonda	Granada	1
23767	La Malahá	Granada	1
23768	Maracena	Granada	1
23769	Marchal	Granada	1
23770	Limones	Granada	1
23771	Moclín	Granada	1
23772	Olivares	Granada	1
23773	Puerto Lope	Granada	1
23774	Tiena	Granada	1
23775	Tózar	Granada	1
23776	Molvízar	Granada	1
23777	Barrio Monachil	Granada	1
23778	Monachil	Granada	1
23779	Sierra Nevada	Granada	1
23780	Ventorros de la Laguna	Granada	1
23781	Ventorros de San José	Granada	1
23782	La Fábrica	Granada	1
23783	Lugros	Granada	1
23784	Los Carlos	Granada	1
23785	Lújar	Granada	1
23787	Castell de Ferro	Granada	1
23788	Hernán Valle	Granada	1
23789	Paulenca	Granada	1
23790	Gualchos	Granada	1
23791	Güejar-Sierra	Granada	1
23792	Guevéjar	Granada	1
23793	Huélago	Granada	1
23794	Huéneja	Granada	1
23795	Lentejí	Granada	1
23796	Lobras	Granada	1
23797	Tímar	Granada	1
23798	Cuesta de la Palma	Granada	1
23799	Fuente Camacho	Granada	1
23800	Loja	Granada	1
23801	Riofrío	Granada	1
23802	Ventorros de Balerma	Granada	1
23803	Gorafe	Granada	1
23804	Cerrillo de Maracena	Granada	1
23805	Zaidín Centro-Este	Granada	1
23806	Albaycín	Granada	1
23807	Almanjáyar	Granada	1
23808	Las Flores	Granada	1
23809	Cartuja	Granada	1
23810	La Chana	Granada	1
23811	Doctores 'Dr. Salvador Caballero García'	Granada	1
23812	Fortuny (Velutti)	Granada	1
23813	Zaidín Sur	Granada	1
23814	Parque Nueva Granada	Granada	1
23815	El Fargue	Granada	1
23816	Góngora	Granada	1
23817	Gran Capitán	Granada	1
23818	Casería de Montijo	Granada	1
23819	La Caleta	Granada	1
23821	Guadahortuna	Granada	1
23822	Bacor-Olivar	Granada	1
23823	Belerda	Granada	1
23824	Guadix	Granada	1
23825	Las Cuevas (Guadix)	Granada	1
