15 04 2010 11:59:12 Consulta de municipio de Centros Sanitarios, realizada a la web del SAS el 15 04 2010 11:59:40
Datos provenientes del archivo: centros-SAS-consultar.txt
__Id Centro__Municipio_
Id;no encontrado!
23635;Cacín
23636;Alhama de Granada
23637;Beas de Granada
23638;Beas de Guadix
23639;Benalúa de Guadix
23640;Benalúa de las Villas
23641;Benamaurel
23642;Bérchules
23643;Bubión
23644;Busquístar
23645;Vegas del Genil
23646;Vegas del Genil
23647;Vegas del Genil
23648;Cuevas del Campo
23649;Zagra
23650;Pinar, El
23651;Gabias, Las
23652;Guájares, Los
23653;Guájares, Los
23654;Guájares, Los
23655;Valle del Zalabí
23656;Valle del Zalabí
23657;Valle del Zalabí
23658;Villamena
23659;Villamena
23660;Morelábor
23661;Morelábor
23662;Pinar, El
23663;Arenas del Rey
23664;Arenas del Rey
23665;Cortes de Baza
23666;Cortes de Baza
23667;Cortes y Graena
23668;Cortes y Graena
23669;Cortes y Graena
23670;Cortes y Graena
23671;Cúllar
23672;Cúllar
23673;Huéscar
23674;Huétor-Santillán
23675;Huétor-Tájar
23676;Huétor-Vega
23677;Illora
23678;Illora
23679;Illora
23680;Castril
23681;Cenes de la Vega
23682;Cijuela
23683;Cogollos de Guadix
23684;Cogollos Vega
23685;Colomera
23686;Colomera
23687;Cortes de Baza
23688;Cáñar
23689;Capileira
23690;Carataunas
23691;Cástaras
23692;Cástaras
23693;Castilléjar
23694;Castilléjar
23696;Castril
23697;Castril
23698;Cádiar
23699;Cádiar
23700;Cájar
23701;Cájar
23702;Calicasas
23703;Campotéjar
23704;Caniles
23705;Jayena
23706;Jete
23707;Jun
23708;Juviles
23709;Calahorra, La
23710;Láchar
23711;Láchar
23712;Lanjarón
23713;Lanteira
23714;Lecrín
23715;Lecrín
23716;Lecrín
23718;Illora
23719;Illora
23720;Illora
23721;Itrabo
23722;Iznalloz
23723;Iznalloz
23724;Iznalloz
23725;Ferreira
23726;Galera
23727;Galera
23728;Fonelas
23729;Gobernador
23730;Gójar
23731;Freila
23732;Gor
23733;Fuente Vaqueros
23734;Churriana de la Vega
23735;Dehesas de Guadix
23736;Darro
23737;Deifontes
23738;Diezma
23739;Diezma
23740;Dílar
23741;Dólar
23742;Dúdar
23743;Dúrcal
23744;Escúzar
23745;Cúllar
23746;Cúllar
23747;Cúllar
23748;Cúllar-Vega
23749;Chauchina
23750;Chauchina
23751;Chauchina
23752;Chimeneas
23753;Chimeneas
23754;Cortes de Baza
23755;Cortes de Baza
23756;Murtas
23757;Nigüelas
23758;Nívar
23759;Ogíjares
23760;Montefrío
23761;Montefrío
23762;Montejícar
23763;Montillana
23764;Moraleda de Zafayona
23765;Moraleda de Zafayona
23766;Motril
23767;Malahá, La
23768;Maracena
23769;Marchal
23770;Moclín
23771;Moclín
23772;Moclín
23773;Moclín
23774;Moclín
23775;Moclín
23776;Molvízar
23777;Monachil
23778;Monachil
23779;Monachil
23780;Loja
23781;Loja
23782;Loja
23783;Lugros
23784;Lújar
23785;Lújar
23787;Gualchos
23788;Guadix
23789;Guadix
23790;Gualchos
23791;Güéjar-Sierra
23792;Güevéjar
23793;Huélago
23794;Huéneja
23795;Lentejí
23796;Lobras
23797;Lobras
23798;Loja
23799;Loja
23800;Loja
23801;Loja
23802;Loja
23803;Gorafe
23804;Granada
23805;Granada
23806;Granada
23807;Granada
23808;Granada
23809;Granada
23810;Granada
23811;Granada
23812;Granada
23813;Granada
23814;Granada
23815;Granada
23816;Granada
23817;Granada
23818;Granada
23819;Granada
23821;Guadahortuna
23822;Guadix
23823;Guadix
23824;Guadix
23825;Guadix
23826;Guadix
23827;Guadix
